iter	Passed	Remaining
0	133	132936
1	133	66713
2	134	44651
3	134	33612
4	135	27024
5	136	22649
6	137	19483
7	137	17106
8	138	15258
9	139	13777
10	139	12571
11	140	11562
12	141	10713
13	141	9992
14	142	9355
15	143	8799
16	143	8308
17	144	7878
18	145	7494
19	145	7149
20	146	6831
21	147	6545
22	147	6286
23	148	6042
24	149	5820
25	149	5612
26	150	5422
27	151	5245
28	151	5079
29	152	4924
30	153	4788
31	153	4654
32	154	4527
33	155	4407
34	155	4293
35	156	4186
36	156	4084
37	157	3987
38	158	3910
39	160	3840
40	160	3758
41	161	3680
42	161	3604
43	162	3532
44	163	3464
45	163	3398
46	164	3336
47	165	3279
48	165	3221
49	166	3166
50	167	3111
51	167	3059
52	168	3008
53	168	2959
54	169	2912
55	170	2867
56	171	2837
57	172	2805
58	173	2766
59	174	2727
60	174	2691
61	175	2657
62	176	2623
63	177	2597
64	178	2566
65	179	2534
66	179	2503
67	180	2473
68	181	2443
69	181	2415
70	182	2388
71	183	2362
72	183	2335
73	184	2309
74	185	2283
75	185	2259
76	186	2234
77	187	2211
78	187	2188
79	188	2165
80	189	2145
81	189	2125
82	190	2101
83	190	2080
84	191	2061
85	192	2041
86	192	2022
87	193	2003
88	193	1985
89	194	1970
90	195	1953
91	196	1936
92	196	1919
93	197	1903
94	198	1887
95	198	1870
96	199	1855
97	199	1839
98	200	1823
99	201	1809
100	201	1796
101	202	1782
102	202	1767
103	203	1753
104	204	1740
105	204	1727
106	205	1714
107	206	1702
108	206	1690
109	207	1680
110	208	1668
111	208	1656
112	209	1644
113	210	1632
114	210	1621
115	211	1609
116	211	1597
117	212	1586
118	212	1575
119	214	1569
120	215	1562
121	215	1552
122	216	1543
123	217	1534
124	217	1524
125	218	1515
126	219	1505
127	219	1497
128	220	1488
129	221	1479
130	221	1469
131	222	1460
132	222	1451
133	223	1443
134	223	1434
135	224	1426
136	225	1417
137	225	1409
138	226	1401
139	226	1394
140	227	1386
141	227	1377
142	228	1369
143	229	1361
144	229	1353
145	230	1346
146	230	1339
147	231	1332
148	232	1326
149	232	1319
150	233	1312
151	234	1305
152	234	1298
153	235	1292
154	235	1285
155	236	1278
156	236	1272
157	237	1266
158	238	1261
159	239	1255
160	239	1248
161	240	1242
162	241	1237
163	241	1232
164	242	1226
165	243	1221
166	243	1215
167	244	1210
168	245	1205
169	245	1200
170	246	1195
171	247	1190
172	248	1185
173	248	1181
174	249	1176
175	250	1171
176	250	1166
177	251	1161
178	252	1155
179	252	1150
180	253	1145
181	253	1141
182	254	1135
183	255	1131
184	255	1126
185	256	1122
186	257	1117
187	257	1112
188	258	1107
189	258	1103
190	259	1098
191	260	1094
192	260	1089
193	261	1085
194	261	1081
195	262	1077
196	263	1073
197	263	1068
198	264	1064
199	265	1060
200	265	1055
201	266	1051
202	266	1047
203	267	1043
204	267	1038
205	268	1035
206	269	1031
207	269	1027
208	270	1023
209	270	1019
210	271	1015
211	272	1011
212	272	1007
213	273	1003
214	273	999
215	274	996
216	275	993
217	275	989
218	276	985
219	277	982
220	277	978
221	278	974
222	278	971
223	279	967
224	279	963
225	280	960
226	281	957
227	281	953
228	282	950
229	282	946
230	283	943
231	283	940
232	284	936
233	285	933
234	285	929
235	286	926
236	286	923
237	287	921
238	288	918
239	288	915
240	289	911
241	290	908
242	290	905
243	291	902
244	291	899
245	292	896
246	293	893
247	293	890
248	294	888
249	295	885
250	295	882
